Restaurant Name,City,Has Online delivery,Aggregate rating
Spice Hub,Mumbai,Yes,4.2
Food Fiesta,Mumbai,No,3.7
Urban Tadka,Delhi,Yes,4.1
Cafe Delight,Delhi,No,3.6
Taste of India,Bangalore,Yes,4.5
Quick Bites,Bangalore,Yes,4.0
Royal Treat,Pune,No,3.8
Hungry Point,Pune,Yes,4.3
Flavour Town,Hyderabad,Yes,4.4
Street Eats,Hyderabad,No,3.9
Daily Dine,Chennai,Yes,4.1
Food Corner,Chennai,No,3.5
Spicy Affair,Kolkata,Yes,4.0
Bistro Bliss,Kolkata,No,3.6
Urban Cravings,Mumbai,Yes,4.3
Meal Box,Delhi,No,3.4
Masala Magic,Bangalore,Yes,4.6
Grill House,Pune,Yes,4.1
Foodies Hub,Hyderabad,Yes,4.2
Snack Street,Chennai,No,3.6
Tandoori Tales,Delhi,Yes,4.4
Cafe Aroma,Mumbai,No,3.8
Pizza Plaza,Bangalore,Yes,4.3
Burger Point,Pune,Yes,4.0
Curry Leaf,Hyderabad,Yes,4.5
Rice Bowl,Chennai,Yes,4.2
Spice Route,Kolkata,Yes,4.1
Dine Divine,Mumbai,Yes,4.4
Quick Eats,Delhi,No,3.5
Urban Cafe,Bangalore,No,3.7
Desi Kitchen,Pune,Yes,4.3
Street Flavours,Hyderabad,No,3.6
Food Factory,Chennai,Yes,4.0
Flame Grill,Kolkata,Yes,4.2
Hungry Hearts,Mumbai,Yes,4.1
Meal Street,Delhi,Yes,4.0
Taste Buds,Bangalore,Yes,4.4
Cafe Corner,Pune,No,3.5
Biryani Zone,Hyderabad,Yes,4.6
South Spice,Chennai,Yes,4.3
Kolkata Bites,Kolkata,Yes,4.2
Urban Plate,Mumbai,No,3.6
Food Box,Delhi,Yes,4.1
Chopstick Tales,Bangalore,Yes,4.5
Gravy House,Pune,Yes,4.0
Snack Hub,Hyderabad,No,3.7
Dosa Delight,Chennai,Yes,4.4
Spice Kingdom,Kolkata,Yes,4.3
Flavour Feast,Mumbai,Yes,4.2
Daily Meals,Delhi,No,3.4
Urban Spice,Bangalore,Yes,4.6
Quick Snacks,Pune,No,3.6
Biryani Express,Hyderabad,Yes,4.5
Rice & Curry,Chennai,Yes,4.1
City Treats,Kolkata,No,3.5
Food Junction,Mumbai,Yes,4.3
Cafe Central,Delhi,Yes,4.0
Grill Nation,Bangalore,Yes,4.4
Meal Express,Pune,Yes,4.1
Street Kitchen,Hyderabad,No,3.8
South Delights,Chennai,Yes,4.5
Royal Bites,Kolkata,Yes,4.2
Urban Eats,Mumbai,Yes,4.1
Taste Express,Delhi,Yes,4.3
Cafe Fusion,Bangalore,No,3.6
Masala Junction,Pune,Yes,4.4
Spice Street,Hyderabad,Yes,4.2
Food Palace,Chennai,Yes,4.3
Hungry Folks,Kolkata,No,3.7
